mf_schcode,navdate,navrs,navreprice,navsaprice,mo_sch_name
40787,24-01-2020 00:00:00,11.395400000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,23-01-2020 00:00:00,11.309900000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,22-01-2020 00:00:00,11.204100000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,21-01-2020 00:00:00,11.291100000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,20-01-2020 00:00:00,11.338700000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,17-01-2020 00:00:00,11.521800000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,16-01-2020 00:00:00,11.616500000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,15-01-2020 00:00:00,11.606200000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,14-01-2020 00:00:00,11.702800000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,13-01-2020 00:00:00,11.741500000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/10/2020,11.712700000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/09/2020,11.710100000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/08/2020,11.455300000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/07/2020,11.464600000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/06/2020,11.406500000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/03/2020,11.718400000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/02/2020,11.852800000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,01/01/2020,11.731300000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,31-12-2019 00:00:00,11.752600000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,30-12-2019 00:00:00,11.822200000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,27-12-2019 00:00:00,11.843300000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,26-12-2019 00:00:00,11.693400000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,24-12-2019 00:00:00,11.794800000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
40787,23-12-2019 00:00:00,11.816100000,0,0,Motilal Oswal Nifty Bank Index Fund - Direct (G)
