Date,Price,Open,High,Low,Volume,Chg%
1/24/2020,"31,241.75","31,040.10","31,375.45","30,879.05",424.62K,0.77%
1/23/2020,"31,004.05","30,742.20","31,087.25","30,621.35",343.82K,0.99%
1/22/2020,"30,701.45","31,061.60","31,149.05","30,614.00",200.58K,-0.80%
1/21/2020,"30,947.55","30,978.85","31,171.25","30,858.60",227.48K,-0.43%
1/20/2020,"31,080.65","31,923.95","31,923.95","31,050.95",282.23K,-1.61%
1/17/2020,"31,590.65","31,571.65","31,773.55","31,445.50",308.14K,-0.83%
1/16/2020,"31,853.90","31,810.55","31,988.90","31,692.40",253.72K,0.09%
1/15/2020,"31,824.90","31,994.75","32,000.90","31,670.35",545.71K,-0.77%
1/14/2020,"32,071.65","32,196.45","32,196.45","31,989.20",438.91K,-0.33%
1/13/2020,"32,177.65","32,139.10","32,322.65","32,074.05",291.44K,0.25%
1/10/2020,"32,097.40","32,215.70","32,347.20","31,953.40",444.71K,0.02%
1/9/2020,"32,092.40","31,748.25","32,172.70","31,667.15",307.98K,2.29%
1/8/2020,"31,373.65","30,995.50","31,451.85","30,899.55",304.49K,-0.08%
1/7/2020,"31,399.40","31,598.05","31,851.45","31,200.90",294.37K,0.52%
1/6/2020,"31,237.15","31,910.45","31,914.45","31,170.55",256.24K,-2.59%
1/3/2020,"32,069.25","32,326.95","32,329.80","31,960.40",217.58K,-1.15%
1/2/2020,"32,443.85","32,133.15","32,465.45","32,121.40",253.56K,1.06%
1/1/2020,"32,102.90","32,237.90","32,348.00","32,057.20",184.67K,-0.18%
12/31/2019,"32,161.65","32,345.95","32,345.95","32,108.75",251.41K,-0.60%
12/30/2019,"32,354.90","32,486.60","32,613.10","32,248.50",274.05K,-0.18%
12/27/2019,"32,412.35","32,142.50","32,444.85","32,056.25",332.43K,1.30%
12/26/2019,"31,997.70","32,276.15","32,314.60","31,963.25",339.79K,-0.88%
12/24/2019,"32,280.75","32,337.80","32,390.35","32,246.05",330.83K,-0.18%
12/23/2019,"32,339.45","32,381.00","32,502.80","32,196.85",391.46K,-0.14%
12/20/2019,"32,384.95","32,266.85","32,443.35","32,199.45",535.24K,0.45%
12/19/2019,"32,241.45","32,281.65","32,328.35","32,085.05",436.93K,-0.01%
12/18/2019,"32,244.25","32,292.25","32,293.65","32,017.30",258.84K,0.32%
